iteration,answer_type,qhd_objective,standard_objective,objective_difference,bus_state_l2_distance,branch_flow_l2_distance,combined_l2_distance,max_constraint_residual,l2_constraint_residual,active_load_supplied_percent,log_objective,log_max_constraint_residual,log_l2_constraint_residual,log_active_load_supplied_percent,cumulative_bound_factor
0,coarse,0.0,0.5317106559725052,-0.5317106559725052,0.06178615216633417,0.8004580992464188,0.8028391478052816,0.3293000730833239,0.8432025317854577,80.0,0.0,0.329298719894,0.843194201692,80.0,1.0
1,coarse,0.0,0.5317106559725052,-0.5317106559725052,0.09873932434100803,0.9297584759591736,0.934986779472974,0.642023598094092,1.3679675724654157,80.0,0.0,0.642020748054,1.367970813789,80.0,1.0
2,coarse,0.0,0.5317106559725052,-0.5317106559725052,0.16613630905544016,0.7735469271483204,0.7911865277462539,0.7671458234211125,2.003500922360382,0.0,0.0,0.7671458234211,2.003495543262,-0.0,1.0
3,coarse,0.0,0.5317106559725052,-0.5317106559725052,0.1704326648924894,0.634883451510324,0.6573616130137335,0.727000083385431,1.7026165561928475,80.0,0.0,0.7270001596316,1.702616648689,80.0,0.9
4,coarse,0.0,0.5317106559725052,-0.5317106559725052,0.08257485671611103,0.5322521579254781,0.5386195007405639,0.8549966289744467,1.2934721467548687,152.0,0.0,0.8549966289744,1.293471779993,152.0,0.81
5,coarse,0.0,0.5317106559725052,-0.5317106559725052,0.07782358399340156,0.7481615989056,0.7521983038418537,0.5049325637406049,1.152713137409236,-107.19999999999999,0.0,0.5049325637406,1.15271965143,-107.2,0.729
6,coarse,0.0,0.5317106559725052,-0.5317106559725052,0.08124705140653317,0.6221827632488275,0.6274651179517491,0.5654929566460838,1.13094207676266,184.4,0.0,0.5654936075936,1.130947381905,184.4,0.6561
7,coarse,0.0,0.5317106559725052,-0.5317106559725052,0.04246941070510382,0.5291828187260212,0.5308842684431851,0.4669475432495474,0.937490299642526,26.935999999999996,0.0,0.4669403493817,0.9374833723072,26.936,0.59049
8,coarse,0.0,0.5317106559725052,-0.5317106559725052,0.012606461250246772,0.40877750004704405,0.40897184183017427,0.22288300014120135,0.5248163517748365,26.936,0.0,0.2228846705161,0.5248184139348,26.936,0.531441
9,coarse,0.0,0.5317106559725052,-0.5317106559725052,0.04789841671685575,0.6338222690045507,0.6356295517123622,0.22517299999999998,0.5975121307087852,111.96666666666665,0.0,0.22517352,0.5975132138794,111.96656,0.531441
10,coarse,0.0,0.5317106559725052,-0.5317106559725052,0.03799122054396179,0.7169157019676508,0.7179216228573906,0.3460941821653686,0.6341525237043008,26.936333333333323,0.0,0.3460953060917,0.6341535380287,26.936,0.531441
11,coarse,0.0,0.5317106559725052,-0.5317106559725052,0.04789841671685575,0.7349596019686019,0.7365187539023207,0.23718447822009744,0.5684320306597019,69.45166666666667,0.0,0.2371872701155,0.5684335283557,69.45128,0.4782969
12,coarse,0.0,0.5317106559725052,-0.5317106559725052,0.020987006004516272,0.5769335666741479,0.5773151607020095,0.2338898504769403,0.427761381738433,69.45133333333334,0.0,0.2338977780718,0.4277715647647,69.45128,0.43046721
13,coarse,0.060285503371957504,0.5317106559725052,-0.47142515260054774,0.046288845652513816,0.673627687167073,0.6752162010422307,0.3198553731139442,0.6025942646412998,115.36733333333333,0.0602861632261,0.3198587354171,0.6025967899822,115.367782,0.43046721
14,coarse,0.0,0.5317106559725052,-0.5317106559725052,0.03479332545864793,0.6376936375927175,0.6386421148990281,0.22153358960915803,0.3509346874593014,69.45133333333334,0.0,0.2215347040279,0.3509339565683,69.45128,0.387420489
15,coarse,0.054256310990630004,0.5317106559725052,-0.4774543449818752,0.032332162380628006,0.7507339160640469,0.7514298247029239,0.10063590537033777,0.26479565159847523,79.783,0.0542556790592,0.1006453679749,0.2648012691702,79.782493,0.3486784401
16,coarse,0.04882811631663,0.5317106559725052,-0.48288253965587524,0.05177080519981837,0.9427862339389841,0.9442065977188945,0.135946,0.3041580906222918,50.85466666666666,0.0488285981993,0.135946012584,0.3041587833599,50.855097,0.3486784401
17,coarse,0.1465677997785575,0.5317106559725052,-0.3851428561939477,0.04846040620076705,0.9902739192972423,0.9914589483228564,0.14368288922769445,0.2635177663941283,97.34533333333331,0.14656749411,0.1436841086566,0.2635219060635,97.345555,0.31381059609
18,coarse,0.35217413531861747,0.5317106559725052,-0.17953652065388775,0.052580913075358365,1.0803159284478223,1.0815947751713295,0.09662564636542555,0.2612909253709227,61.08333333333332,0.352173751403,0.09662455202951,0.261294729458,61.082997,0.282429536481
19,coarse,0.3168930164754375,0.5317106559725052,-0.21481763949706772,0.06531378636975714,1.2749439534192692,1.2766158290771388,0.09535016789299999,0.19921207187074944,99.577,0.316892846723,0.09534956890206,0.1992072775894,99.577097,0.2541865828329
20,coarse,0.3565843892765175,0.5317106559725052,-0.17512626669598774,0.039628000705114776,1.0763590049873992,1.077088244322325,0.24974391276931807,0.3459346670818859,86.77333333333334,0.356584857138,0.2497391679461,0.3459286746034,86.773625,0.2541865828329
21,coarse,0.67874934995868,0.5317106559725052,0.14703869398617475,0.07312188609724386,1.3299585916037384,1.3319672164160115,0.12407999494602419,0.22606236883581218,86.77366666666666,0.678748654965,0.1240775519536,0.2260571880603,86.773625,0.22876792454961
22,coarse,0.6948870481734299,0.5317106559725052,0.16317639220092472,0.0693307138295257,1.3946227270159108,1.396344978359362,0.11343440258129434,0.2045505471077188,108.12533333333334,0.694887617697,0.1134353496529,0.2045566797206,108.125298,0.205891132094649
23,coarse,0.6513184620468575,0.5317106559725052,0.11960780607435229,0.049671731455684216,1.2446764675128412,1.245667206635083,0.12165774730128065,0.2167308527369579,99.89,0.651319144384,0.121664498903,0.2167374868624,99.889653,0.205891132094649
24,coarse,0.62228519501568,0.5317106559725052,0.0905745390431748,0.0496717314657503,1.1674509056345668,1.16850712362988,0.07222889001430854,0.14891206272951288,110.871,0.622285365033,0.07223355535128,0.1489148121016,110.870513,0.185302018885184
25,coarse,0.53089185121532,0.5317106559725052,-0.0008188047571852097,0.0614600592690987,1.2044191237850264,1.2059862207440233,0.059625700834217366,0.13615274406149297,93.576,0.53089102582,0.05962947064574,0.1361526239665,93.575658,0.166771816996666
26,coarse,0.5191477619993176,0.5317106559725052,-0.012562893973187661,0.047462966553294676,1.0961430942054127,1.0971701855994151,0.08734308307956873,0.15109095388900565,104.69366666666667,0.519147160841,0.08734186427747,0.1510885733249,104.693779,0.166771816996666
27,coarse,0.5896338992186301,0.5317106559725052,0.057923243246124856,0.05010057549094106,1.0370316545446199,1.0382411666814582,0.05721370019254529,0.12401206929408286,104.69333333333334,0.589633713496,0.05720956768912,0.124004667159,104.693779,0.150094635296999
28,coarse,0.5156236067647175,0.5317106559725052,-0.016087049207787696,0.053252879356433865,1.0854347752425304,1.086740318781609,0.07057997229395063,0.1320826804609206,102.69266666666667,0.515624305064,0.07056741631345,0.132067399297,102.692517,0.150094635296999
29,coarse,0.49449042054972003,0.5317106559725052,-0.037220235422785186,0.0532528793470447,1.0872748333637898,1.0885781701030972,0.09017215778259569,0.14372517205682936,98.69033333333334,0.494490114111,0.09017135184876,0.1437241372025,98.689994,0.150094635296999
30,coarse,0.45223742674335754,0.5317106559725052,-0.07947322922914768,0.05325287933765554,1.1171502546487806,1.1184187769434069,0.05415544560517305,0.11670174985128048,90.68533333333333,0.45223687129,0.05414492212021,0.1166939401564,90.684946,0.135085171767299
31,coarse,0.461741930748,0.5317106559725052,-0.0699687252245052,0.04387771981556662,1.0241558831129047,1.025095374690076,0.032129061954092014,0.09046265380502153,114.1,0.461742091006,0.03213018444091,0.09046719771196,114.099709,0.121576654590569
32,coarse,0.4531873034536575,0.5317106559725052,-0.07852335251884773,0.05541508816466839,1.0853466002499428,1.0867603575169673,0.057233048438270706,0.11766828265692773,83.30066666666667,0.453187347277,0.05723308045755,0.1176684449831,83.30029,0.121576654590569
