iteration,answer_type,qhd_objective,standard_objective,objective_difference,bus_state_l2_distance,branch_flow_l2_distance,combined_l2_distance,max_constraint_residual,l2_constraint_residual,active_load_supplied_percent,log_objective,log_max_constraint_residual,log_l2_constraint_residual,log_active_load_supplied_percent
0,coarse,1.281536,0.5317106559725089,0.7498253440274911,0.061786261525747836,1.1082949922309582,1.110015915164079,0.4896,0.7669843074354026,133.33333333333334,1.281536,0.4896,0.7669842687311,133.333333
0,refined,0.09898692767291999,0.5317106559725089,-0.4327237282995889,0.008042901992661156,0.18834962538294833,0.188521271092576,0.030033000000000032,0.08173670047220039,72.50366666666666,0.0989866968261,0.03003240349309,0.08173673065195,72.503555
1,coarse,1.281536,0.5317106559725089,0.7498253440274911,0.061786191089337326,1.1082949922309582,1.1100159112434143,0.4896,0.7681421783330141,133.33333333333334,1.281536,0.4896,0.768142124109,133.333333
1,refined,0.12226680467967001,0.5317106559725089,-0.4094438512928389,0.007409157488566688,0.17648219931354445,0.17663765818543906,0.025952993283642395,0.07720577496249151,74.30199999999999,0.1222668514,0.02595641235778,0.07720576296153,74.30189
2,coarse,1.281536,0.5317106559725089,0.7498253440274911,0.0617861569069327,1.0438029378793419,1.0456300025873748,0.4896,0.7561259589919087,133.33333333333334,1.281536,0.4896,0.756125925654,133.333333
2,refined,0.15262613109311748,0.5317106559725089,-0.37908452487939137,0.0068332401169404035,0.16341096551627748,0.16355377348584102,0.02401404036493246,0.07146005625487689,76.22066666666667,0.15262534948,0.02401627845304,0.07146020263667,76.220133
3,coarse,1.281536,0.5317106559725089,0.7498253440274911,0.061786261525747836,1.1082949922309582,1.110015915164079,0.4896,0.7681087484428923,133.33333333333334,1.281536,0.4896,0.7681087663534,133.333333
3,refined,0.17851022030807,0.5317106559725089,-0.35320043566443887,0.0064031940065903134,0.15220902877070902,0.15234365537431666,0.02236717139294178,0.06656401008385557,77.847,0.178509701783,0.02236810648842,0.06656410840274,77.847131
4,coarse,1.281536,0.5317106559725089,0.7498253440274911,0.0617861569069327,1.0438029378793419,1.0456300025873748,0.4896,0.7561259589919087,133.33333333333334,1.281536,0.4896,0.756125925654,133.333333
4,refined,0.20214095337408,0.5317106559725089,-0.3295697025984289,0.005938262292765496,0.14200618171258553,0.14213028742546585,0.020871395365240464,0.06209589971555939,79.33233333333332,0.202141285674,0.02086969009768,0.06209583643981,79.332816
5,coarse,1.281536,0.5317106559725089,0.7498253440274911,0.061786261525747836,1.0438029378793419,1.0456300087692938,0.4896,0.7459045264908628,133.33333333333334,1.281536,0.4896,0.7459044749487,133.333333
5,refined,0.22425689384505754,0.5317106559725089,-0.30745376212745135,0.005577869477206494,0.1324625872213344,0.13257997451076228,0.019465222115366124,0.05791654711018265,80.72200000000001,0.224256734294,0.01946555454052,0.05791657442342,80.721949
6,coarse,1.281536,0.5317106559725089,0.7498253440274911,0.061786191089337326,1.1082949922309582,1.1100159112434143,0.4896,0.7681421783330141,133.33333333333334,1.281536,0.4896,0.768142124109,133.333333
6,refined,0.24466385632095747,0.5317106559725089,-0.28704679965155144,0.00519803048765313,0.12365367116762181,0.12376287777108658,0.018176062042462443,0.0540614410086163,82.005,0.244663323534,0.01817614816779,0.05406154201272,82.004876
7,coarse,1.1211760000000002,0.5317106559725089,0.5894653440274913,0.061786191089337326,1.1113732363644417,1.1130893961926425,0.4896,0.7881850736878814,106.6666666666667,1.121176,0.4896,0.7881850849142,106.666667
7,refined,0.26426987675648,0.5317106559725089,-0.2674407792160289,0.004843210020154764,0.1151915290509704,0.11529330010195686,0.016933856335102415,0.05035922152166866,83.23700000000001,0.264269917649,0.01693110641238,0.05035920862621,83.236532
8,coarse,1.441944,0.5317106559725089,0.910233344027491,0.0617861569069327,1.0438029378793419,1.0456300025873748,0.4896,0.7518819494185465,160.0,1.441944,0.4896,0.7518819158924,160.0
8,refined,0.28259688061808,0.5317106559725089,-0.24911377535442886,0.004485762531273127,0.10729080211339556,0.10738453465756966,0.015771575313311623,0.046899635502173125,84.388,0.282596966971,0.01576838094532,0.04689961993478,84.387911
9,coarse,1.281536,0.5317106559725089,0.7498253440274911,0.061786150691948004,1.0438029378793419,1.045630002220132,0.4896,0.7593718366735112,133.33333333333334,1.281536,0.4896,0.7593716820092,133.333333
9,refined,0.29963528667072,0.5317106559725089,-0.2320753693017889,0.0041815311749634505,0.09995611564390733,0.10004354180848139,0.014687812708166492,0.043684687319182826,85.45533333333333,0.299634625804,0.01468914158035,0.04368480930364,85.455482
10,coarse,1.281536,0.5317106559725089,0.7498253440274911,0.061786150691948004,1.0438029378793419,1.045630002220132,0.4896,0.7593718366735112,133.33333333333334,1.281536,0.4896,0.7593716820092,133.333333
10,refined,0.31569345369072,0.5317106559725089,-0.2160172022817889,0.0038848123052439803,0.09302808047353127,0.0931091591801622,0.013676619079552282,0.04065547647539061,86.46466666666667,0.315694324611,0.01367304751315,0.04065530495565,86.465354
11,coarse,1.281536,0.5317106559725089,0.7498253440274911,0.061786150691948004,1.0438029378793419,1.045630002220132,0.4896,0.7593718366735112,133.33333333333334,1.281536,0.4896,0.7593716820092,133.333333
