iteration,answer_type,qhd_objective,standard_objective,objective_difference,bus_state_l2_distance,branch_flow_l2_distance,combined_l2_distance,max_constraint_residual,l2_constraint_residual,active_load_supplied_percent,log_objective,log_max_constraint_residual,log_l2_constraint_residual,log_active_load_supplied_percent
0,coarse,0.160024,0.609639734673282,-0.44961573467328203,0.044967476649817345,0.2790783803543078,0.28267793747909575,0.22553928077020943,0.33382426029141615,106.66666666666667,0.160024,0.2255414996961,0.3338258704698,106.666667
0,refined,0.33806507713415374,0.609639734673282,-0.2715746575391283,0.014281215204770837,0.11394193236451144,0.11483343179877487,0.038341000000000014,0.0673204328396816,77.479,0.338065149855,0.03834057348121,0.06732040208045,77.479031
1,coarse,0.160024,0.609639734673282,-0.44961573467328203,0.044967476649817345,0.3548023990634558,0.3576406245624727,0.22,0.330108861101852,106.66666666666667,0.160024,0.22,0.3301092462209,106.666667
1,refined,0.369732069172015,0.609639734673282,-0.23990766550126702,0.011776118908574669,0.09567105523215115,0.0963930899275576,0.029964884449387635,0.05913634500331088,80.32633333333332,0.369731619585,0.0299665024061,0.05913645734452,80.326294
2,coarse,0.160024,0.609639734673282,-0.44961573467328203,0.044967476649817345,0.3548023990634558,0.3576406245624727,0.22,0.329817801201528,106.66666666666667,0.160024,0.22,0.3298175554962,106.666667
2,refined,0.39042279857350004,0.609639734673282,-0.219216936099782,0.010725533671613803,0.08719861844066266,0.08785576890848544,0.027369987794424427,0.054028655880874236,82.02100000000002,0.390422209335,0.02736988515982,0.05402880473489,82.021036
3,coarse,0.160024,0.609639734673282,-0.44961573467328203,0.044967476649817345,0.3548023990634558,0.3576406245624727,0.22,0.3298145878273621,106.66666666666667,0.160024,0.22,0.329814822859,106.666667
3,refined,0.40551204541390373,0.609639734673282,-0.2041276892593783,0.009982910818710382,0.08115653020313027,0.0817682145031058,0.025485400652841023,0.050304571732615884,83.25733333333332,0.405512866684,0.02548380261384,0.05030436936671,83.257325
4,coarse,0.160024,0.609639734673282,-0.44961573467328203,0.044967476649817345,0.3548023990634558,0.3576406245624727,0.22,0.329817801201528,106.66666666666667,0.160024,0.22,0.3298175554962,106.666667
4,refined,0.41911254758753497,0.609639734673282,-0.19052718708574706,0.009320042664713023,0.07575132564708613,0.07632251655024852,0.02378719043345917,0.04694826081277419,84.37466666666667,0.419113436757,0.02378519298467,0.04694804240119,84.374789
5,coarse,0.160024,0.609639734673282,-0.44961573467328203,0.044967476649817345,0.3548023990634558,0.3576406245624727,0.22,0.3301054566636077,106.66666666666667,0.160024,0.22,0.3301049777691,106.666667
5,refined,0.43185670251480374,0.609639734673282,-0.1777830321584783,0.008699007814150922,0.07068300885990607,0.07121629363032184,0.022202440650815614,0.04380392493047114,85.41899999999998,0.431856582294,0.02219810035494,0.04380395752227,85.41903
6,coarse,0.160024,0.609639734673282,-0.44961573467328203,0.044967476649817345,0.3548023990634558,0.3576406245624727,0.22,0.329817801201528,106.66666666666667,0.160024,0.22,0.3298175554962,106.666667
6,refined,0.443684398984375,0.609639734673282,-0.16595533568890702,0.00812311731384169,0.06598543460621827,0.0664835514624929,0.02072211167182525,0.04088611251592157,86.38833333333335,0.443684894268,0.02071948083,0.04088598507395,86.388363
