method,label,selection,iteration,objective,objective_gap_pct,l2_h,max_abs_h,load_supplied_pct,feasible_for_obj_compare
SQP (SLSQP),SQP (SLSQP),qce_final_iter,,0.5317106559725281,0.0,2.4141893329504625e-15,1.4918621893400541e-15,99.99999999999999,True
Interior-point (trust-constr),Interior-point (trust-constr),qce_final_iter,,0.531710666212515,1.925856984996699e-06,5.722519770151539e-14,3.010439120210151e-14,99.99999999999987,True
Truncated Newton (TNC penalty),Truncated Newton (TNC penalty),qce_best_l2_iter,,0.531723322219192,0.002382169046577509,5.227590728399125e-08,1.7411952685231213e-08,99.9999830279024,True
Newton-Raphson active-set KKT,Newton-Raphson active-set KKT,flat_start,,0.5317106561713763,3.739781817557741e-08,1.0482740376884677e-10,1e-10,100.00000003333334,True
QCE coarse-only,QCE best residual iter 228,best_max_iter_228,228,0.5350027597034605,0.6191532356843554,0.0006794968208931418,0.0003258882768932547,99.97552328333333,False
QCE coarse-only,QCE final iter 328,final_main_loop_record,328,0.5354957479871987,0.7118706334270142,0.0008684086033167836,0.000557054995357964,99.90885661666665,False
