selection,tnc_plot_iteration,tnc_solver_iteration,tnc_objective,tnc_objective_gap_pct_vs_sqp,tnc_l2_h,tnc_max_abs_h,tnc_load_supplied_pct,tnc_meets_l2_1e_3,tnc_meets_max_abs_1e_5,qhdsb_plot_iteration,qhdsb_solver_iteration,qhdsb_objective,qhdsb_objective_gap_pct_vs_sqp,qhdsb_l2_h,qhdsb_max_abs_h,qhdsb_load_supplied_pct,qhdsb_meets_l2_1e_3,qhdsb_meets_max_abs_1e_5,objective_delta_tnc_minus_qhdsb,objective_delta_pct_of_qhdsb,l2_delta_tnc_minus_qhdsb,l2_ratio_tnc_over_qhdsb,lower_l2_method,lower_objective_method
initial_common_center,0,0,0.5629781250000001,5.880542109934228,0.46222498069440227,0.3,100.0,False,False,0,0,0.5629781250000001,5.880542109934228,0.46222498069440227,0.3,100.0,False,False,0.0,0.0,0.0,1.0,tie,tie
first_l2_le_1e-3,197,197,0.5467543143799843,2.8292941355370305,0.0006505747665694281,0.0002386961640786639,99.79751654432484,True,False,220,219,0.5350027597034605,0.6191532356843554,0.000982359850161602,0.0006354092353588747,99.97552328333333,True,False,0.01175155467652389,2.1965409455154017,-0.000331785083592174,0.6622570807045971,Truncated Newton,QHD-SB coarse-only
best_l2_residual,228,228,0.5288803353494533,-0.5323046644415963,0.0005315941182484344,0.00017897160085561525,99.82258680807153,True,False,229,228,0.5350027597034605,0.6191532356843554,0.0006794968208931418,0.0003258882768932547,99.97552328333333,True,False,-0.006122424354007117,-1.144372480882272,-0.00014790270264470739,0.7823349600807527,Truncated Newton,Truncated Newton
final_plot_iteration_230,230,230,0.5288786922114542,-0.5326136930421388,0.0005318992101169087,0.000179242439064059,99.8228479268865,True,False,230,229,0.5354957479871987,0.7118706334270142,0.0008684086033167836,0.000557054995357964,99.90885661666665,True,False,-0.0066170557757444515,-1.2356878277029026,-0.0003365093931998748,0.6124987800505233,Truncated Newton,Truncated Newton
min_objective_with_l2_le_1e-3,207,207,0.5280186921260884,-0.6943558126904281,0.0009847719349066386,0.0006723381007082141,99.76310196031118,True,False,220,219,0.5350027597034605,0.6191532356843554,0.000982359850161602,0.0006354092353588747,99.97552328333333,True,False,-0.006984067577372022,-1.3054264582192276,2.4120847450365395e-06,1.0024553983396611,QHD-SB coarse-only,Truncated Newton
min_objective_overall_unfiltered,6,6,0.21830853400421948,-58.9422307881114,0.06383991629524421,0.022915217455175135,80.61963096917155,False,False,1,0,0.0,-100.0,0.8431942016919624,0.32929871989395576,80.0,False,False,0.21830853400421948,,-0.7793542853967181,0.07571199631964068,Truncated Newton,QHD-SB coarse-only
