method,start_name,iteration,rank,objective,objective_gap_pct,l2_h,max_abs_h,load_supplied_pct,bus_l2_to_reference,branch_l2_to_reference,combined_l2_to_reference,pg_l2_to_reference,qg_l2_to_reference,logged_l2_h,logged_max_abs_h,step_norm,feasible
QCE coarse-only,QCE beam,0,1,0.0,-100.0,0.8431942016919624,0.32929871989395576,80.0,0.06178614422759487,0.8004580318079879,0.8028390799558969,0.30291707302443344,0.09914033061354571,0.843194201691963,0.329298719893956,0.701737564906041,False
QCE coarse-only,QCE beam,1,1,0.0,-100.0,1.3679708137890614,0.6420207480539549,80.0,0.0987393296260025,0.9297582784319891,0.934986583608454,0.30291707302443344,1.0412705465543133,1.36797081378906,0.642020748053955,1.77094776885173,False
QCE coarse-only,QCE beam,2,1,0.0,-100.0,2.0034955432623254,0.7671458234211125,0.0,0.1661363020437508,0.7735467741562052,0.7911863766927761,0.30291707302443344,0.4117776130985432,2.00349554326233,0.767145823421112,1.66795683397411,False
QCE coarse-only,QCE beam,3,1,0.0,-100.0,1.7026166486885406,0.7270001596315895,80.0,0.1704326687679938,0.6348834420433479,0.6573616048752694,0.30291707302443344,0.4117776130985432,1.70261664868854,0.72700015963159,1.57577663391804,False
QCE coarse-only,QCE beam,4,1,0.0,-100.0,1.2934717799927946,0.8549966289744467,152.0,0.08257485614515683,0.5322520942797374,0.5386194377596856,0.30291707302443344,0.31730778538741794,1.29347177999279,0.854996628974447,1.10814388957448,False
QCE coarse-only,QCE beam,5,1,0.0,-100.0,1.152719651430395,0.5049325637406049,-107.19999999999999,0.0778235919899133,0.7481617115936942,0.7521984167525337,0.30291707302443344,0.34992700837222485,1.15271965143039,0.504932563740605,1.12405686546665,False
QCE coarse-only,QCE beam,6,3,0.0,-100.0,1.1309473819051954,0.5654936075936413,184.4,0.08124704164756723,0.6221827194228967,0.6274650732311341,0.30291707302443344,0.3400295084848238,1.13094738190519,0.565493607593641,1.14036218438976,False
QCE coarse-only,QCE beam,7,1,0.0,-100.0,0.9374833723072421,0.4669403493816688,26.935999999999996,0.04246958065606251,0.5291828260547072,0.5308842893440606,0.30291707302443344,0.4247093519870169,0.937483372307242,0.466940349381668,0.839232601632222,False
QCE coarse-only,QCE beam,8,6,0.0,-100.0,0.5248184139347776,0.22288467051608246,26.936,0.012606322311242467,0.408778171271999,0.40897250845343464,0.30291707302443344,0.2812364743198632,0.524818413934776,0.222884670516081,1.00684414241079,False
QCE coarse-only,QCE beam,9,1,0.0,-100.0,0.5975132138794325,0.22517352,111.96656,0.04789847367123231,0.6338225478459943,0.6356298340528247,0.30291707302443344,0.43251763366317925,0.597513213879434,0.22517352,0.769102414765868,False
QCE coarse-only,QCE beam,10,1,0.0,-100.0,0.6341535380287128,0.34609530609166184,26.936,0.037991023084761676,0.7169155074741355,0.7179214181872025,0.30291707302443344,0.30705656505569706,0.634153538028712,0.346095306091661,0.673568710231827,False
QCE coarse-only,QCE beam,11,1,0.0,-100.0,0.5684335283556723,0.23718727011546725,69.45128,0.04789847366882722,0.7349593199877336,0.7365184762221754,0.30291707302443344,0.36282157497653816,0.568433528355674,0.237187270115469,0.471440589213253,False
QCE coarse-only,QCE beam,12,1,0.0,-100.0,0.4277715647646672,0.23389777807176929,69.45128,0.02098694417298805,0.5769337928742315,0.5773153845048361,0.30291707302443344,0.6532208831501117,0.427771564764668,0.233897778071769,0.740813290964246,False
QCE coarse-only,QCE beam,13,4,0.060286163226115144,-88.66184783980896,0.6025967899609246,0.3198587351979829,115.36778240000002,0.046288456195557326,0.673627731673075,0.6752162187447664,0.26847969622443346,0.7264427883976122,0.602596789982153,0.319858735417102,0.660786248751569,False
QCE coarse-only,QCE beam,14,1,0.0,-100.0,0.35093395643360625,0.22153470423692867,69.45128000000001,0.03479308136732947,0.6376938091385431,0.6386422728919988,0.30291707302443344,0.7264427883976122,0.350933956568302,0.221534704027944,0.532656166763222,False
QCE coarse-only,QCE beam,15,1,0.05425567905915326,-89.79601434544946,0.26480126898377415,0.10064536777489337,79.78249304,0.032332022952669466,0.7507330538790515,0.7514289573171764,0.2719234339044334,0.8965814288760011,0.264801269170152,0.100645367974948,0.428146556324467,False
