label,method,source,start_name,plot_iteration,solver_iteration,stage,objective,l2_h,max_abs_h,load_supplied_pct
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,30,30,rho=1e+02,0.2505191975092663,0.05295544736156624,0.017803439310262736,82.34875565429844
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,31,31,rho=1e+02,0.2505303238202592,0.052953308293767994,0.017800000968315632,82.34987731042192
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,32,32,rho=1e+02,0.25053397021547164,0.05295261135190815,0.017802992708120663,82.34972653605294
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,33,33,rho=1e+02,0.250535484771353,0.052952322176615295,0.017803958994660127,82.34978029593711
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,34,34,rho=1e+02,0.25053238652466964,0.052952769165183114,0.01780804448509371,82.34901254720329
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,35,35,rho=1e+02,0.25053206887870294,0.052952828051691124,0.01780767957366508,82.34901216227874
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,36,36,rho=1e+02,0.25053275221203175,0.05295269551118256,0.017806415811506104,82.34900462714579
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,37,37,rho=1e+02,0.25053411569480283,0.05295243689512664,0.017805755080251118,82.35016586147586
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,38,38,rho=1e+02,0.25053058554348506,0.0529531022322663,0.017805348615858863,82.34887311344647
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,39,39,rho=1e+02,0.2505315439554406,0.052952912905130683,0.017810574445281002,82.34779339663496
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,40,40,rho=1e+02,0.2505300402922851,0.05295319627026812,0.01780655618367258,82.34909065323632
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,41,41,rho=1e+02,0.25053114966099044,0.052952986581005224,0.01780662732077587,82.35014557668377
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,42,42,rho=1e+02,0.25053054528296165,0.05295310046879408,0.017806212626404527,82.34972295734444
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,43,43,rho=1e+02,0.25052949962588095,0.052953297829812,0.01780632059031001,82.34926415526762
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,44,44,rho=1e+02,0.2505272193965618,0.05295372820137048,0.017806037694295396,82.3481568589305
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,45,45,rho=1e+02,0.25053099239243765,0.05295301540593621,0.01780571144072006,82.34935738883172
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,46,46,rho=1e+02,0.2505313372591516,0.052952950174454026,0.017805639400180387,82.34953384520924
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,47,47,rho=1e+02,0.25052948052806784,0.05295330067949478,0.0178054499535341,82.34921145963925
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,48,48,rho=1e+02,0.25052906015987425,0.05295337995738691,0.017805126147589848,82.34920091870957
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,49,49,rho=1e+02,0.2505289014192564,0.05295340987132457,0.01780505377251286,82.34927068098257
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,50,50,rho=1e+02,0.2505289432649135,0.05295340190525478,0.01780522122751281,82.3493867918828
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,51,51,rho=1e+02,0.25052897080697195,0.05295339667893122,0.017805195039703514,82.34939787751395
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,52,52,rho=1e+02,0.25052896869779273,0.05295339707309794,0.017805197046604826,82.34939702815943
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,53,53,rho=1e+02,0.250529300186098,0.05295333440107824,0.017805489907196437,82.34937013974584
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,54,54,rho=1e+02,0.2505299553616175,0.05295321028501515,0.017806321060348296,82.34918110149486
