case,selected_by,iteration,standard_objective,qhd_objective,objective_diff,objective_abs_diff,objective_pct_diff,bus_l2_distance,branch_l2_distance,combined_l2_distance,max_abs_h,l2_norm_h,load_supplied_pct,source_log,standard_file
5bus,best_distance,134,9.19504654,9.16702727874,-0.02801926126,0.02801926126,-0.304721255495,0.0197160833585,0.0174713227032,0.0263433304652,0.00323323649343,0.00934316060369,99.911757,logs\Buses-5_06-07-2026_00-05-09.txt,5bus-answer.txt
5bus,best_residual,189,9.19504654,9.16280212608,-0.03224441392,0.03224441392,-0.350671568433,0.118648459885,0.11462489289,0.164973704277,0.00289850182926,0.0082549254453,99.890787,logs\Buses-5_06-07-2026_00-05-09.txt,5bus-answer.txt
9bus,best_distance,317,4.09813222,4.15780168777,0.05966946777,0.05966946777,1.45601616948,0.320353766074,0.604481618489,0.684123207126,0.0168298810771,0.0239278231446,100.306577,logs\Buses-9_06-08-2026_19-48-09.txt,9bus-answer.txt
9bus,best_residual,17,4.09813222,4.04579687606,-0.05233534394,0.05233534394,-1.27705357296,0.647244370606,1.12913483239,1.3014878966,0.00750885316262,0.020922702689,99.316079,logs\Buses-9_06-08-2026_19-48-09.txt,9bus-answer.txt
14bus,best_distance,361,4.87526215,4.90171898855,0.02645683855,0.02645683855,0.542675198502,0.211400783038,0.322525079243,0.385632879576,0.000754866241865,0.00208721215251,100.109539,logs\Buses-14_06-08-2026_11-02-24.txt,14bus-answer.txt
14bus,best_residual,86,4.87526215,4.91089780202,0.03563565202,0.03563565202,0.73094842746,0.670896969263,1.01169366973,1.2139303212,0.000105278949798,0.000294132381148,99.98399,logs\Buses-14_06-08-2026_11-02-24.txt,14bus-answer.txt
